i,hypo,hyper,closure,hypo_syn,hyper_syn,path_len,path,vec_hypo,vec_hyper,vec_path_mean,vec_hypo_method,vec_hyper_method,vec_hypo_key,vec_hyper_key
136,spacecraft,vehicle,True,spacecraft.n.01,vehicle.n.01,2.0,spacecraft.n.01 -> craft.n.02 -> vehicle.n.01,True,True,,synset_name,synset_name,spacecraft.n.01,vehicle.n.01
137,probe,spacecraft,False,,,,,True,True,,wn_lemma,wn_lemma,probe.n.01,spacecraft.n.01
138,coat,upper body clothing,True,coat.n.01,clothing.n.01,3.0,coat.n.01 -> overgarment.n.01 -> garment.n.01 -> clothing.n.01,True,True,,synset_name,synset_name,coat.n.01,clothing.n.01
139,apple,fruit,True,apple.n.01,fruit.n.01,2.0,apple.n.01 -> edible_fruit.n.01 -> fruit.n.01,True,True,,synset_name,synset_name,apple.n.01,fruit.n.01
140,hand drill,hand tool,True,hand.n.01,hand.n.01,0.0,hand.n.01,True,True,,synset_name,synset_name,hand.n.01,hand.n.01
141,piano,keyboard instrument,True,piano.n.01,keyboard_instrument.n.01,1.0,piano.n.01 -> keyboard_instrument.n.01,True,True,,synset_name,synset_name,piano.n.01,keyboard_instrument.n.01
142,beanie,headwear,False,,,,,True,False,,wn_lemma,unk,beanie.n.01,
143,cymbals,percussion instrument,True,cymbal.n.01,percussion_instrument.n.01,1.0,cymbal.n.01 -> percussion_instrument.n.01,True,True,,synset_name,synset_name,cymbal.n.01,percussion_instrument.n.01
144,dessert,food,True,dessert.n.01,food.n.01,3.0,dessert.n.01 -> course.n.07 -> nutriment.n.01 -> food.n.01,True,True,,synset_name,synset_name,dessert.n.01,food.n.01
145,cello,string instrument,True,cello.n.01,bowed_stringed_instrument.n.01,1.0,cello.n.01 -> bowed_stringed_instrument.n.01,True,True,,synset_name,synset_name,cello.n.01,bowed_stringed_instrument.n.01
146,cream,dairy product,True,cream.n.02,dairy_product.n.01,1.0,cream.n.02 -> dairy_product.n.01,True,True,,synset_name,synset_name,cream.n.02,dairy_product.n.01
147,fly,insect,True,fly.n.01,insect.n.01,2.0,fly.n.01 -> dipterous_insect.n.01 -> insect.n.01,True,True,,synset_name,synset_name,fly.n.01,insect.n.01
148,lower body clothing,clothing,True,clothing.n.01,clothing.n.01,0.0,clothing.n.01,True,True,,synset_name,synset_name,clothing.n.01,clothing.n.01
149,screwdriver,hand tool,True,screwdriver.n.01,hand_tool.n.01,1.0,screwdriver.n.01 -> hand_tool.n.01,True,True,,synset_name,synset_name,screwdriver.n.01,hand_tool.n.01
150,shirt,upper body clothing,True,shirt.n.01,clothing.n.01,2.0,shirt.n.01 -> garment.n.01 -> clothing.n.01,True,True,,synset_name,synset_name,shirt.n.01,clothing.n.01
151,pudding,dessert,True,pudding.n.02,dessert.n.01,1.0,pudding.n.02 -> dessert.n.01,True,True,,synset_name,synset_name,pudding.n.02,dessert.n.01
152,pie,dessert,False,,,,,True,True,,wn_lemma,wn_lemma,pie.n.01,dessert.n.01
153,shorts,lower body clothing,True,short_pants.n.01,clothing.n.01,3.0,short_pants.n.01 -> trouser.n.01 -> garment.n.01 -> clothing.n.01,True,True,,synset_name,synset_name,short_pants.n.01,clothing.n.01
154,bird,animal,True,bird.n.01,animal.n.01,3.0,bird.n.01 -> vertebrate.n.01 -> chordate.n.01 -> animal.n.01,True,True,,synset_name,synset_name,bird.n.01,animal.n.01
155,taxi,road vehicle,True,cab.n.03,vehicle.n.01,5.0,cab.n.03 -> car.n.01 -> motor_vehicle.n.01 -> self-propelled_vehicle.n.01 -> wheeled_vehicle.n.01 -> vehicle.n.01,True,True,,synset_name,synset_name,cab.n.03,vehicle.n.01
156,micrometer,measuring tool,False,,,,,True,True,,wn_lemma,wn_lemma,micron.n.01,measurement.n.01
157,trumpet,brass instrument,True,cornet.n.01,brass.n.02,1.0,cornet.n.01 -> brass.n.02,True,True,,synset_name,synset_name,cornet.n.01,brass.n.02
158,sneakers,footwear,True,gym_shoe.n.01,footwear.n.02,2.0,gym_shoe.n.01 -> shoe.n.01 -> footwear.n.02,True,True,,synset_name,synset_name,gym_shoe.n.01,footwear.n.02
159,canoe,watercraft,True,canoe.n.01,vessel.n.02,3.0,canoe.n.01 -> small_boat.n.01 -> boat.n.01 -> vessel.n.02,True,True,,synset_name,synset_name,canoe.n.01,vessel.n.02
